Vendor,Amount
"1A Auto, Inc",34.59  
3C and A Crane Service,500.00  
4 Rivers Equipment,"5,267.22  "
7-11,204.77  
AABCA Inc.,"9,300.00  "
Aaron Cazares,"1,315.72  "
AB&C Small Engine,476.29  
AC Auto Panels,31.11  
Ace,9.00  
Ace Hardware,"3,088.22  "
ACME Brick,465.48  
ACTDT,"7,255.00  "
AGI Marketing,"6,450.00  "
Aida Hernandez,0.00  
Airgas,838.79  
Alameda Truck Salvage,254.39  
Albertsons,"1,199.35  "
ALDO LUCERO..,300.00  
All Coast Auto Transport,145.00  
All Fence Supply Co.,"2,077.60  "
All Makes,251.14  
All MY SONS,425.70  
Allstate,49.38  
Allsups,58.98  
Alta Arizona,"1,800.00  "
Amazon,"5,985.49  "
American Express,35.38  
American Heritage Life Insurance Company,"7,913.84  "
American Sling LLC,674.73  
Amzn Mktp,594.75  
"Andy's Mobile Fuel Service, Inc.","9,366.16  "
Annual Membership Fee,99.00  
Applebees,473.75  
Aqua Cave,256.94  
Aracely Arellano,480.00  
Arizona Corp.,45.00  
Arizona Grand Resort,"3,947.89  "
Arizona Science Center,377.40  
Arturo Rodriguez,500.00  
Ascentium Capital,"20,644.66  "
Auto Electric Company,419.37  
Auto Zone,"14,749.49  "
AZ Boardwalk,519.78  
B&L Precision,200.00  
BB of El Paso,788.90  
BBVA,584.25  
BBVA Compass Bank,"1,242.05  "
Best Buy,"9,183.71  "
Big O Tire,220.92  
BJ's Restaurant & Brewhouse,467.00  
Bobby C. Lambert,0.00  
Bobcat of El Paso,"11,107.49  "
Border Construction,883.32  
Border Tire,"4,741.60  "
Bowlins Butterfield,34.67  
Brunson Pump Service,121.79  
Buddy Beer Barn,24.88  
Budget Car Rental,87.09  
Bulk Reef Supply,"6,429.61  "
C & R Distributing,"14,547.54  "
Cantina Laredo,21.74  
Carlos & Mickeys Restaurant,110.26  
Carls Jr.,30.72  
Casa Carpets,"1,359.89  "
Certified Laboratories,232.72  
Chase Card Services,101.86  
Cheesecake,476.65  
Chelsea Maribel Arellano Villalobos,"1,800.00  "
Chevron,201.90  
Chick-Fill-A,32.43  
Church's Chicken,52.88  
Circle K,"1,168.68  "
City of El Paso,"1,222.77  "
City of Tucson Utility Lockbox,"1,623.54  "
CLK Bank,9.51  
Comfort Inn & Suites,126.13  
Complete Reprographics,62.04  
Compliance Signs,194.62  
Comprehensive Contingency,75.00  
Construction BID,479.40  
Copper State,37.02  
Costco Gas,78.61  
